,_id,jobs_completed,timeLeft,total_allocation,allocation,total_energy,total_runtime,scheduling_decisions,job_idx,userID,plays,visits,group,startTime,gameTime,version
0,66be38d1217dee6c11eced47,11,4,200,77.0,2123.385714285714,123,"{'7': {'machine1': ['10', 1], 'machine2': ['13', 1]}, '21': {'machine1': ['10', 0.8235294117647058], 'machine2': ['12', 1]}, '25': {'machine1': ['10', 0.19047619047619047], 'machine2': ['11', 1]}, '37': {'machine1': ['10', 0.36363636363636365], 'machine2': ['9', 1]}, '42': {'machine1': ['5', 1], 'machine2': ['9', 0.29411764705882354]}, '48': {'machine1': ['5', 0.5454545454545454], 'machine2': ['3', 1]}, '49': {'machine1': ['5', 0.08333333333333333], 'machine2': ['1', 1]}, '54': {'machine1': ['2', 1], 'machine2': ['1', 0.8333333333333334], 'machine3': ['6', 0.35714285714285715]}, '57': {'machine1': ['2', 0.375], 'machine2': ['1', 0.3333333333333333], 'machine3': ['0', 1]}, '60': {'machine1': ['2', 0.2727272727272727], 'machine2': ['1', 0.25], 'machine3': ['4', 1]}}",16,1on9b7a,2,2,2,1723742065812,329560,1
1,66be39933bebf2876408dc66,9,22,3000,0.15714285714273046,2159.6857142857143,118,"{'30': {'machine1': ['9', 0.8888888888888888], 'machine2': ['12', 0.5714285714285714], 'machine3': ['7', 1]}, '34': {'machine1': ['9', 0.3076923076923077], 'machine2': ['11', 1], 'machine3': ['7', 0.3333333333333333]}, '42': {'machine1': ['6', 1], 'machine3': ['7', 0.4]}, '43': {'machine1': ['6', 0.1111111111111111], 'machine2': ['3', 1], 'machine3': ['7', 0.047619047619047616]}, '45': {'machine1': ['6', 0.18181818181818182], 'machine2': ['3', 0.6666666666666666], 'machine3': ['5', 1]}, '48': {'machine1': ['6', 0.21428571428571427], 'machine2': ['3', 0.5], 'machine3': ['5', 0.6], 'machine4': ['0', 1]}, '49': {'machine1': ['6', 0.06666666666666667], 'machine2': ['1', 1], 'machine3': ['5', 0.16666666666666666], 'machine4': ['0', 0.25]}, '57': {'machine1': ['2', 1], 'machine2': ['1', 0.8888888888888888], 'machine3': ['5', 0.5714285714285714], 'machine4': ['0', 0.6666666666666666]}, '60': {'machine1': ['2', 0.2727272727272727], 'machine2': ['1', 0.25], 'machine3': ['4', 1]}}",14,1on9b7a,3,3,2,1723742419420,190058,3
2,66be3a39217dee6c11eced48,16,0,200,29.0,3078.9,171,"{'1': {'machine1': ['19', 1]}, '2': {'machine2': ['14', 1]}, '4': {'machine1': ['17', 1], 'machine2': ['14', 0.6666666666666666]}, '5': {'machine1': ['13', 1], 'machine2': ['14', 0.25]}, '6': {'machine1': ['13', 0.5], 'machine2': ['14', 0.2], 'machine3': ['10', 1], 'machine4': ['0', 1]}, '7': {'machine1': ['13', 0.3333333333333333], 'machine2': ['3', 1], 'machine3': ['10', 0.5], 'machine4': ['0', 0.5]}, '12': {'machine1': ['7', 1], 'machine2': ['3', 0.8333333333333334], 'machine3': ['10', 0.7142857142857143], 'machine4': ['0', 0.7142857142857143]}, '16': {'machine1': ['7', 0.4444444444444444], 'machine2': ['11', 1], 'machine3': ['10', 0.36363636363636365], 'machine4': ['0', 0.36363636363636365]}, '17': {'machine1': ['7', 0.1], 'machine2': ['9', 1], 'machine3': ['10', 0.08333333333333333], 'machine4': ['0', 0.08333333333333333]}, '33': {'machine1': ['7', 0.6153846153846154], 'machine2': ['9', 0.9411764705882353], 'machine3': ['8', 1]}, '34': {'machine1': ['7', 0.037037037037037035], 'machine2': ['2', 1], 'machine3': ['8', 0.058823529411764705]}, '46': {'machine1': ['7', 0.3076923076923077], 'machine2': ['2', 0.9230769230769231], 'machine3': ['6', 1]}, '48': {'machine1': ['5', 1], 'machine3': ['6', 0.14285714285714285]}, '58': {'machine1': ['5', 0.8333333333333334], 'machine3': ['1', 1]}, '60': {'machine1': ['4', 1], 'machine3': ['1', 0.16666666666666666]}}",20,1on9b7a,4,4,2,1723742626191,151298,1
3,66bf707b09f21551ff542cfd,12,12,200,8.0,3518.9942424242427,192,"{'13': {'machine1': ['8', 0.05], 'machine2': ['15', 0.1], 'machine3': ['12', 1], 'machine4': ['13', 0.06666666666666667]}, '18': {'machine1': ['8', 0.2], 'machine2': ['14', 1], 'machine3': ['12', 0.8333333333333334], 'machine4': ['13', 0.25]}, '20': {'machine1': ['8', 0.07407407407407407], 'machine2': ['11', 1], 'machine3': ['12', 0.25], 'machine4': ['13', 0.09090909090909091]}, '22': {'machine1': ['8', 0.06896551724137931], 'machine2': ['11', 0.5], 'machine3': ['12', 0.2], 'machine4': ['3', 1]}, '35': {'machine1': ['8', 0.30952380952380953], 'machine2': ['9', 1], 'machine3': ['7', 1], 'machine4': ['3', 0.8666666666666667]}, '39': {'machine1': ['6', 1], 'machine2': ['9', 0.23529411764705882], 'machine3': ['7', 0.23529411764705882], 'machine4': ['3', 0.21052631578947367]}, '41': {'machine1': ['6', 0.3333333333333333], 'machine2': ['0', 1], 'machine3': ['7', 0.10526315789473684], 'machine4': ['3', 0.09523809523809523]}, '43': {'machine1': ['6', 0.25], 'machine2': ['5', 1], 'machine3': ['7', 0.09523809523809523], 'machine4': ['3', 0.08695652173913043]}, '50': {'machine1': ['6', 0.4666666666666667], 'machine2': ['5', 0.7777777777777778], 'machine3': ['2', 1], 'machine4': ['3', 0.23333333333333334]}, '57': {'machine1': ['1', 1], 'machine2': ['5', 0.4375], 'machine3': ['2', 0.5], 'machine4': ['3', 0.1891891891891892]}, '60': {'machine1': ['1', 0.3], 'machine2': ['4', 1], 'machine3': ['2', 0.17647058823529413], 'machine4': ['3', 0.075]}}",17,19abi9c,2,2,0,1723822133887,63355,1
4,66bf70a2ddc4307faabac4a7,9,11,200,4.0,3954.324242424242,196,"{'20': {'machine1': ['7', 1], 'machine2': ['8', 0.23076923076923078], 'machine3': ['9', 1], 'machine4': ['11', 0.3333333333333333]}, '26': {'machine1': ['7', 0.4], 'machine2': ['8', 0.13333333333333333], 'machine3': ['9', 0.4], 'machine4': ['3', 1]}, '40': {'machine1': ['7', 0.4827586206896552], 'machine2': ['8', 0.23728813559322035], 'machine3': ['6', 1], 'machine4': ['3', 0.7]}, '47': {'machine1': ['7', 0.19444444444444445], 'machine2': ['8', 0.10606060606060606], 'machine3': ['5', 1], 'machine4': ['3', 0.25925925925925924]}, '50': {'machine1': ['7', 0.07692307692307693], 'machine2': ['2', 1], 'machine3': ['5', 0.3], 'machine4': ['3', 0.1]}, '54': {'machine1': ['1', 1], 'machine2': ['2', 0.5714285714285714], 'machine3': ['5', 0.2857142857142857], 'machine4': ['3', 0.11764705882352941]}, '57': {'machine1': ['1', 0.42857142857142855], 'machine2': ['2', 0.3], 'machine3': ['0', 1], 'machine4': ['3', 0.08108108108108109]}, '60': {'machine1': ['1', 0.3], 'machine2': ['2', 0.23076923076923078], 'machine3': ['4', 1], 'machine4': ['3', 0.075]}}",14,19abi9c,3,3,0,1723822209789,24594,2
5,66bfa3be09f21551ff542cff,5,8,3000,609.7909090909084,1620.418181818182,105,"{'46': {'machine1': ['7', 1], 'machine2': ['8', 0.5757575757575758]}, '47': {'machine1': ['7', 0.02564102564102564], 'machine2': ['1', 1]}, '55': {'machine1': ['2', 1], 'machine2': ['1', 0.8888888888888888]}, '58': {'machine1': ['2', 0.2727272727272727], 'machine2': ['1', 0.25], 'machine3': ['0', 1]}, '60': {'machine1': ['4', 1]}}",10,135gzmp,2,2,3,1723835223469,90546,3
6,66bfb3ed3bebf2876408dc69,7,17,3000,58.579989648033234,2092.8400207039335,127,"{'28': {'machine1': ['8', 0.3055555555555556], 'machine2': ['9', 1], 'machine4': ['10', 0.03188405797101449]}, '34': {'machine1': ['8', 0.14285714285714285], 'machine2': ['9', 0.35294117647058826], 'machine4': ['4', 1]}, '48': {'machine1': ['6', 1], 'machine4': ['4', 0.7]}, '49': {'machine1': ['6', 0.06666666666666667], 'machine2': ['1', 1], 'machine3': ['5', 0.09090909090909091], 'machine4': ['0', 1]}, '52': {'machine1': ['2', 1], 'machine2': ['1', 0.75], 'machine3': ['5', 0.21428571428571427], 'machine4': ['0', 0.75]}, '60': {'machine1': ['2', 0.7272727272727273], 'machine2': ['1', 0.6666666666666666], 'machine3': ['3', 1], 'machine4': ['0', 0.6666666666666666]}}",12,13ce26h,2,2,3,1723839158890,292285,3
7,66bfb6063bebf2876408dc6b,10,22,3000,41.75714285714281,2116.4857142857145,114,"{'24': {'machine1': ['9', 1], 'machine2': ['13', 0.6666666666666666], 'machine3': ['7', 0.15384615384615385]}, '28': {'machine1': ['9', 0.6666666666666666], 'machine2': ['11', 1], 'machine3': ['7', 0.23529411764705882]}, '32': {'machine1': ['9', 0.4], 'machine2': ['2', 1], 'machine3': ['7', 0.19047619047619047]}, '35': {'machine1': ['9', 0.23076923076923078], 'machine2': ['2', 0.42857142857142855], 'machine3': ['8', 1]}, '41': {'machine1': ['6', 1], 'machine2': ['2', 0.46153846153846156], 'machine3': ['8', 0.6666666666666666]}, '49': {'machine1': ['6', 0.5714285714285714], 'machine2': ['5', 1], 'machine3': ['8', 0.47058823529411764]}, '50': {'machine1': ['6', 0.06666666666666667], 'machine2': ['5', 0.1111111111111111], 'machine3': ['3', 1]}, '57': {'machine1': ['1', 1], 'machine2': ['5', 0.4375], 'machine3': ['3', 0.875]}, '60': {'machine1': ['1', 0.3], 'machine2': ['4', 1], 'machine3': ['0', 1]}}",15,1pfoupp,2,2,3,1723839559543,416059,3
8,66bfb7a5217dee6c11eced4a,19,1,200,36.0,3109.2999999999997,164,"{'1': {}, '7': {'machine3': ['15', 1]}, '8': {'machine2': ['18', 1], 'machine3': ['15', 0.14285714285714285]}, '9': {'machine1': ['16', 1], 'machine2': ['18', 0.5], 'machine3': ['15', 0.125]}, '10': {'machine1': ['16', 0.5], 'machine2': ['18', 0.3333333333333333], 'machine3': ['19', 1]}, '11': {'machine1': ['16', 0.3333333333333333], 'machine2': ['18', 0.25], 'machine3': ['8', 1]}, '13': {'machine1': ['16', 0.4], 'machine2': ['17', 1], 'machine3': ['8', 0.6666666666666666]}, '14': {'machine1': ['16', 0.16666666666666666], 'machine2': ['13', 1], 'machine3': ['8', 0.25]}, '16': {'machine1': ['14', 1], 'machine2': ['13', 0.6666666666666666], 'machine3': ['8', 0.3333333333333333]}, '18': {'machine1': ['14', 0.5], 'machine2': ['6', 1], 'machine3': ['8', 0.25]}, '27': {'machine1': ['12', 1], 'machine2': ['6', 0.8181818181818182], 'machine3': ['8', 0.5294117647058824]}, '29': {'machine1': ['12', 0.18181818181818182], 'machine2': ['6', 0.15384615384615385], 'machine3': ['7', 1]}, '34': {'machine1': ['11', 1], 'machine2': ['6', 0.2777777777777778], 'machine3': ['7', 0.7142857142857143]}, '36': {'machine1': ['9', 1], 'machine2': ['6', 0.1], 'machine3': ['7', 0.2222222222222222]}, '47': {'machine1': ['9', 0.8461538461538461], 'machine2': ['5', 1], 'machine3': ['7', 0.55]}, '48': {'machine1': ['2', 1], 'machine2': ['5', 0.08333333333333333], 'machine3': ['7', 0.047619047619047616]}, '52': {'machine1': ['2', 0.8], 'machine2': ['5', 0.25], 'machine3': ['1', 1]}, '58': {'machine1': ['2', 0.5454545454545454], 'machine2': ['3', 1], 'machine3': ['1', 0.6]}, '60': {'machine1': ['4', 1], 'machine2': ['0', 1], 'machine3': ['1', 0.16666666666666666]}}",20,1pfoupp,3,3,3,1723840009172,411509,1
9,66bfb88509f21551ff542d02,18,0,200,20.0,3480.0000000000005,180,"{'1': {'machine1': ['9', 0.07692307692307693], 'machine2': ['16', 0.125], 'machine3': ['12', 1]}, '3': {'machine1': ['18', 1], 'machine2': ['19', 1], 'machine3': ['12', 0.6666666666666666]}, '4': {'machine1': ['18', 0.3333333333333333], 'machine2': ['15', 1], 'machine3': ['12', 0.25]}, '6': {'machine1': ['17', 1], 'machine2': ['15', 0.6666666666666666], 'machine3': ['12', 0.3333333333333333]}, '10': {'machine1': ['8', 1], 'machine2': ['15', 0.5714285714285714], 'machine3': ['12', 0.4]}, '13': {'machine1': ['8', 0.42857142857142855], 'machine2': ['15', 0.3], 'machine3': ['10', 1]}, '18': {'machine1': ['8', 0.4166666666666667], 'machine2': ['14', 1], 'machine3': ['10', 0.625]}, '21': {'machine1': ['8', 0.2], 'machine2': ['13', 1], 'machine3': ['10', 0.2727272727272727]}, '22': {'machine1': ['8', 0.0625], 'machine2': ['11', 1], 'machine3': ['10', 0.08333333333333333]}, '25': {'machine1': ['8', 0.15789473684210525], 'machine2': ['11', 0.75], 'machine3': ['7', 1]}, '41': {'machine1': ['8', 0.45714285714285713], 'machine2': ['5', 1], 'machine3': ['7', 0.8421052631578947]}, '43': {'machine1': ['8', 0.05405405405405406], 'machine2': ['2', 1], 'machine3': ['7', 0.09523809523809523]}, '48': {'machine1': ['8', 0.11904761904761904], 'machine2': ['2', 0.7142857142857143], 'machine3': ['6', 1]}, '54': {'machine1': ['1', 1], 'machine2': ['2', 0.46153846153846156], 'machine3': ['6', 0.5454545454545454]}, '57': {'machine1': ['1', 0.3333333333333333], 'machine2': ['3', 1], 'machine3': ['6', 0.21428571428571427]}, '58': {'machine1': ['1', 0.1], 'machine2': ['3', 0.25], 'machine3': ['4', 1]}, '60': {'machine1': ['0', 1], 'machine2': ['3', 0.3333333333333333], 'machine3': ['4', 0.6666666666666666]}}",20,dfooux,2,2,4,1723840242536,402878,2
